429006101001,拖市,429006101,天门市拖市镇拖市
429006101201,金尧村,429006101,天门市拖市镇金尧村
429006101202,横河村,429006101,天门市拖市镇横河村
429006101203,周堤村,429006101,天门市拖市镇周堤村
429006101204,拖市村,429006101,天门市拖市镇拖市村
429006101205,金滩村,429006101,天门市拖市镇金滩村
429006101206,王夫村,429006101,天门市拖市镇王夫村
429006101207,梅河村,429006101,天门市拖市镇梅河村
429006101208,赵台村,429006101,天门市拖市镇赵台村
429006101209,庙河村,429006101,天门市拖市镇庙河村
429006101210,新集村,429006101,天门市拖市镇新集村
429006101211,陈桥村,429006101,天门市拖市镇陈桥村
429006101212,丁云村,429006101,天门市拖市镇丁云村
429006101213,中心村,429006101,天门市拖市镇中心村
429006101214,南河村,429006101,天门市拖市镇南河村
429006101215,直河村,429006101,天门市拖市镇直河村
429006101216,双河村,429006101,天门市拖市镇双河村
429006101217,易河村,429006101,天门市拖市镇易河村
429006101218,太平村,429006101,天门市拖市镇太平村
429006101219,同宜村,429006101,天门市拖市镇同宜村
429006101220,大桥村,429006101,天门市拖市镇大桥村
429006101221,严沟村,429006101,天门市拖市镇严沟村
429006101222,徐集村,429006101,天门市拖市镇徐集村
429006101223,陈云村,429006101,天门市拖市镇陈云村
429006101224,何场村,429006101,天门市拖市镇何场村
429006101225,梁场村,429006101,天门市拖市镇梁场村
429006101226,严庙村,429006101,天门市拖市镇严庙村
429006101227,佘湖村,429006101,天门市拖市镇佘湖村
429006101228,同兴村,429006101,天门市拖市镇同兴村
429006101229,丁仗村,429006101,天门市拖市镇丁仗村
429006101231,许场村,429006101,天门市拖市镇许场村
429006101232,黄流村,429006101,天门市拖市镇黄流村
429006101233,关沟村,429006101,天门市拖市镇关沟村
429006101234,福南村,429006101,天门市拖市镇福南村
429006101235,张丰村,429006101,天门市拖市镇张丰村
429006101236,夏场村,429006101,天门市拖市镇夏场村
429006101237,吴洲村,429006101,天门市拖市镇吴洲村
429006101238,白土地村,429006101,天门市拖市镇白土地村
429006101239,古水村,429006101,天门市拖市镇古水村
429006101240,三当村,429006101,天门市拖市镇三当村
429006101241,彭家沟新村,429006101,天门市拖市镇彭家沟新村
429006101242,龙山嘴新村,429006101,天门市拖市镇龙山嘴新村
429006101243,郧西新村,429006101,天门市拖市镇郧西新村
